1000 0.297340 0.000713
2000 0.546850 0.001471
3000 0.803586 0.002165
4000 1.152363 0.002857
5000 1.442411 0.003557
6000 1.742709 0.003978
7000 2.055067 0.004843
8000 2.354923 0.005672
9000 2.663253 0.006433
10000 2.970983 0.008862
